District Name,County Name (District),District Type (District),Census Day Enrollment (District),English Learners % (District),Free/Reduced Meals % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Grads Mtg UC/CSU % (District),Grads Mtg UC/CSU # (District),ACT Test Takers # (District),Per Pupil Ratio: Teacher (District),Avg Years Teaching (District),Teacher Salary-Avg (District),Chronic Absenteeism % (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Object Code - 4000-4999 Books & Supplies Per Student (District),Total Gen Fund Revenues Per Student (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Per Student # (District),Gen Fund Exp by Activity - 1000-1999 Instruction Per Student # (District),Gen Fund Exp by Activity - 5000-5999 Community Services Per Student # (District),Gen Fund Exp by Activity - 7000-7999 General Administration Per Student # (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Per Student # (District)
Irvine Unified (Orange),Orange,Unified School District,28185,13,13,52,95.82,58.9,1263,0,26.2,13,74154,N/A,N/A,N/A,7700,335,7844,47,4992,25,266,744
Dublin Unified (Alameda),Alameda,Unified School District,6748,7.9,9.6,60,92.33,58.4,230,0,22.5,9,76199,N/A,N/A,N/A,7941,201,8342,43,5188,0,514,478
Clovis Unified (Fresno),Fresno,Unified School District,39040,6.3,33.6,51,92.59,57.6,1494,0,24.3,13,61739,N/A,N/A,N/A,7225,379,7874,144,4530,0,399,700
Beverly Hills Unified (Los Angeles),Los Angeles,Unified School District,4585,6.4,5.8,29,92.83,57.2,283,0,18.3,13,N/A,N/A,N/A,N/A,11922,289,12853,158,7568,33,987,576
Mendocino Unified (Mendocino),Mendocino,Unified School District,525,1,36.2,22,93.33,55.8,24,0,15.1,13,56889,N/A,N/A,N/A,12966,776,14469,211,7081,0,1367,1717
San Francisco Unified (San Francisco),San Francisco,Unified School District,56222,29.2,60.6,60,82.23,55.8,2206,0,18,12,59734,N/A,N/A,N/A,9370,380,11438,69,4963,0,556,811
Cabrillo Unified (San Mateo),San Mateo,Unified School District,3317,31.7,37.7,40,85.54,54.8,121,0,23.5,13,64944,N/A,N/A,N/A,8388,182,9344,128,5104,3,605,730
Sierra-Plumas Joint Unified (Sierra),Sierra,Unified School District,413,4.4,47.2,21,96.97,54.8,17,0,15.5,12,51837,N/A,N/A,N/A,13134,545,13506,120,6501,0,2145,1712
San Luis Coastal Unified (San Luis Obispo),San Luis Obispo,Unified School District,7350,14.6,34.5,37,95.52,54.3,292,0,19.3,13,69353,N/A,N/A,N/A,10723,488,10572,177,6267,0,693,1153
New Haven Unified (Alameda),Alameda,Unified School District,12951,22.3,46.2,67,80.63,53.1,527,0,23.3,13,82550,N/A,N/A,N/A,7826,141,7861,84,5416,7,407,421
Castro Valley Unified (Alameda),Alameda,Unified School District,9052,8.2,22.2,64,95.66,52.9,386,0,22.9,11,67860,N/A,N/A,N/A,7575,293,7916,80,4927,41,483,602
Temecula Valley Unified (Riverside),Riverside,Unified School District,30267,5.8,17.5,51,93.28,52.8,1199,0,23.7,11,76499,N/A,N/A,N/A,7510,245,7596,28,5377,6,330,562
Golden Valley Unified (Madera),Madera,Unified School District,1943,6.1,39.7,36,84.25,52.4,66,0,22.9,7,N/A,N/A,N/A,N/A,7468,356,7613,95,4313,0,655,564
Riverdale Joint Unified (Fresno),Fresno,Unified School District,1574,26.8,84.2,22,97.2,52.1,73,0,20.4,11,58783,N/A,N/A,N/A,7989,581,8489,149,4959,4,503,592
Brea-Olinda Unified (Orange),Orange,Unified School District,5960,10.3,24.4,53,95.45,51.5,272,0,27.6,13,74895,N/A,N/A,N/A,7442,286,7533,47,4561,0,550,778
Newport-Mesa Unified (Orange),Orange,Unified School District,21854,24,43.5,41,93.91,51.2,854,0,23.7,13,82920,N/A,N/A,N/A,10468,385,10874,142,6412,0,581,828
Alameda Unified (Alameda),Alameda,Unified School District,10669,22.3,35.3,66,85.45,50.9,437,0,21.5,10,65255,N/A,N/A,N/A,9172,415,9950,206,5744,8,658,480
Oakland Unified (Alameda),Alameda,Unified School District,46472,28.8,77.4,56,58.96,50.9,1124,0,19,8,54669,N/A,N/A,N/A,10651,477,11563,336,6172,11,604,733
Muroc Joint Unified (Kern),Kern,Unified School District,2115,2.9,23.2,47,92.59,50.8,64,0,22.3,11,60825,N/A,N/A,N/A,8308,343,8907,90,5014,6,695,724
Capistrano Unified (Orange),Orange,Unified School District,53170,10.2,23.7,40,96.89,50.7,2003,0,26.3,14,80105,N/A,N/A,N/A,7469,184,7523,65,5144,0,308,590
Coronado Unified (San Diego),San Diego,Unified School District,3107,2,5.6,31,94.74,50.6,134,0,23,10,63301,N/A,N/A,N/A,8737,375,8976,109,5614,107,613,635
Saint Helena Unified (Napa),Napa,Unified School District,1367,21.7,40.3,37,95.42,50.4,64,0,16,9,93871,N/A,N/A,N/A,16505,799,17893,226,10772,75,1479,1043
Torrance Unified (Los Angeles),Los Angeles,Unified School District,24229,13.6,26,63,95.26,50.1,1076,0,26.5,13,66916,N/A,N/A,N/A,7196,196,8072,91,5000,0,370,507
Alhambra Unified (Los Angeles),Los Angeles,Unified School District,18282,27.2,69.3,40,91.58,49.9,898,0,24.7,15,70988,N/A,N/A,N/A,8237,280,9570,53,5224,59,528,865
San Marcos Unified (San Diego),San Diego,Unified School District,19117,19.4,43.9,45,97.16,49.7,590,0,28.6,11,65369,N/A,N/A,N/A,7394,350,7484,65,5024,215,313,592
Garden Grove Unified (Orange),Orange,Unified School District,47999,42.1,63.2,43,87.75,49.6,1739,0,25.9,13,80351,N/A,N/A,N/A,7840,181,8110,169,5329,8,255,670
Glendora Unified (Los Angeles),Los Angeles,Unified School District,7487,4.9,20.5,45,96.08,49.5,306,0,26,12,74546,N/A,N/A,N/A,6756,188,7257,23,4760,3,399,358
Santa Barbara Unified (Santa Barbara),Santa Barbara,Unified School District,15326,31.4,48.9,38,N/A,49.4,735,0,22.6,14,69199,N/A,N/A,N/A,8725,377,8993,116,5456,109,434,685
San Lorenzo Valley Unified (Santa Cruz),Santa Cruz,Unified School District,4264,1.3,22.8,27,96.34,49.3,105,0,22.4,9,61920,N/A,N/A,N/A,9149,392,9300,116,5345,0,877,889
South San Francisco Unified (San Mateo),San Mateo,Unified School District,9348,26.9,41.2,58,94.4,48.9,324,0,23.4,9,61639,N/A,N/A,N/A,7040,212,8154,0,4415,4,387,824
Anderson Valley Unified (Mendocino),Mendocino,Unified School District,550,50,58.9,23,70.83,48.8,21,0,15.9,12,52996,N/A,N/A,N/A,11264,632,11327,85,7250,195,828,744
Tustin Unified (Orange),Orange,Unified School District,23507,22.4,39.6,51,95.21,48.7,749,0,28.6,10,72899,N/A,N/A,N/A,6722,215,7462,51,4453,14,325,506
Redondo Beach Unified (Los Angeles),Los Angeles,Unified School District,8658,6.6,21.5,51,91.67,47.8,297,0,24,11,71706,N/A,N/A,N/A,7838,272,7866,0,5330,12,339,670
Milpitas Unified (Santa Clara),Santa Clara,Unified School District,9949,26.4,33.4,58,91.77,47.7,350,0,24.4,12,74685,N/A,N/A,N/A,7335,252,7631,31,5101,0,381,355
Baldwin Park Unified (Los Angeles),Los Angeles,Unified School District,19240,27.5,78.7,15,87.67,47.5,887,0,20.6,11,73109,N/A,N/A,N/A,8216,301,9432,0,5581,0,263,420
Live Oak Unified (Sutter),Sutter,Unified School District,1789,20.2,82.1,40,89.55,47.5,58,0,23.3,14,59797,N/A,N/A,N/A,7075,367,7655,65,4412,43,567,670
Big Pine Unified (Inyo),Inyo,Unified School District,201,4,69.7,48,100,redacted,redacted,0,14,9,60902,N/A,N/A,N/A,14593,582,16569,0,9211,0,1435,1260
