Calculation1,City,County/State/ Territory,Count,Gender,School,Pivot Field Values
ALLIANCE COLLINS FAMILY COLRDY54118,Huntington Park,Los Angeles,Adm,All,ALLIANCE COLLINS FAMILY COLRDY,46
ALLIANCE COLLINS FAMILY COLRDY54118,Huntington Park,Los Angeles,App,All,ALLIANCE COLLINS FAMILY COLRDY,68
ALLIANCE DR OLGA MOHAN HIGH SC51779,Los Angeles,Los Angeles,Enr,Male,ALLIANCE DR OLGA MOHAN HIGH SC,8
ALLIANCE DR OLGA MOHAN HIGH SC51779,Los Angeles,Los Angeles,Adm,Male,ALLIANCE DR OLGA MOHAN HIGH SC,12
ALLIANCE DR OLGA MOHAN HIGH SC51779,Los Angeles,Los Angeles,App,Male,ALLIANCE DR OLGA MOHAN HIGH SC,15
ALLIANCE DR OLGA MOHAN HIGH SC51779,Los Angeles,Los Angeles,Enr,Female,ALLIANCE DR OLGA MOHAN HIGH SC,12
ALLIANCE DR OLGA MOHAN HIGH SC51779,Los Angeles,Los Angeles,Adm,Female,ALLIANCE DR OLGA MOHAN HIGH SC,23
ALLIANCE DR OLGA MOHAN HIGH SC51779,Los Angeles,Los Angeles,App,Female,ALLIANCE DR OLGA MOHAN HIGH SC,27
ALLIANCE DR OLGA MOHAN HIGH SC51779,Los Angeles,Los Angeles,Enr,All,ALLIANCE DR OLGA MOHAN HIGH SC,20
ALLIANCE DR OLGA MOHAN HIGH SC51779,Los Angeles,Los Angeles,Adm,All,ALLIANCE DR OLGA MOHAN HIGH SC,35
ALLIANCE DR OLGA MOHAN HIGH SC51779,Los Angeles,Los Angeles,App,All,ALLIANCE DR OLGA MOHAN HIGH SC,42
ALLIANCE GERTZ-RESSLER HIGH SC53983,Los Angeles,Los Angeles,Enr,Male,ALLIANCE GERTZ-RESSLER HIGH SC,3
ALLIANCE GERTZ-RESSLER HIGH SC53983,Los Angeles,Los Angeles,Adm,Male,ALLIANCE GERTZ-RESSLER HIGH SC,12
