School Name,District Name (School),School Type (School),County Name (School)
Dominguez High (Compton Unified),Compton Unified,High School,Los Angeles
Don Antonio Lugo High (Chino Valley Unified),Chino Valley Unified,High School,San Bernardino
Don Pedro High (Big Oak Flat-Groveland Unified),Big Oak Flat-Groveland Unified,High School,Tuolumne
Dos Palos High (Dos Palos Oro Loma Joint Unified),Dos Palos Oro Loma Joint Unified,High School,Merced
Dos Pueblos Senior High (Santa Barbara Unified),Santa Barbara Unified,High School,Santa Barbara
Dougherty Valley High (San Ramon Valley Unified),San Ramon Valley Unified,High School,Contra Costa
Downey High (Downey Unified),Downey Unified,High School,Los Angeles
Downieville Junior-Senior High (Sierra-Plumas Joint Unified),Sierra-Plumas Joint Unified,High School,Sierra
Downtown College Preparatory (San Jose Unified),San Jose Unified,High School,Santa Clara
Dr. Maya Angelou Community High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Dr. Richard A. Vladovic Harbor Teacher Preparation Academy (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Dr. TJ Owens Gilroy Early College Academy (Gilroy Unified),Gilroy Unified,High School,Santa Clara
Duarte High (Duarte Unified),Duarte Unified,High School,Los Angeles
Dublin High (Dublin Unified),Dublin Unified,High School,Alameda
Dunlap Leadership Academy (Kings Canyon Joint Unified),Kings Canyon Joint Unified,High School,Fresno
Dunsmuir High (Dunsmuir Joint Union High),Dunsmuir Joint Union High,High School,Siskiyou
Durham High (Durham Unified),Durham Unified,High School,Butte
e3 Civic High (San Diego Unified),San Diego Unified,High School,San Diego
Eagle Rock High (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
Early College Academy-LA Trade Tech College (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
East Bakersfield High (Kern High),Kern High,High School,Kern
East Los Angeles Renaissance Academy at Esteban E. Torres High No. 2 (Los Angeles Unified),Los Angeles Unified,High School,Los Angeles
